image_path,colors,predictions
architecture 036.jpg,"[[0.18475947 0.32542157 0.44821234]
 [0.06946337 0.68949655 0.96881096]
 [0.04384128 0.09760649 0.14680563]
 [0.38375424 0.2328038  0.02518896]
 [0.65540327 0.6634809  0.65376188]]","['spotlight', 'matchstick', 'digital_clock']"
architecture 042.jpg,"[[0.06804596 0.09159655 0.11206843]
 [0.56917387 0.5667773  0.56959737]
 [0.16594041 0.20568407 0.24805277]
 [0.40292371 0.44151063 0.48308519]
 [0.69095492 0.67202304 0.65563736]]","['spotlight', 'digital_clock', 'matchstick']"
architecture 052.jpg,"[[0.78596795 0.63727196 0.37677228]
 [0.18349309 0.14491877 0.08312064]
 [0.48430145 0.49894049 0.53109335]
 [0.3509521  0.31408996 0.2660223 ]
 [0.79564319 0.6998835  0.55565082]]","['spotlight', 'digital_clock', 'matchstick']"
architecture 065.jpg,"[[0.58102146 0.48818265 0.37616691]
 [0.45270114 0.50310759 0.54306929]
 [0.27458932 0.27214438 0.29452279]
 [0.72526024 0.72134767 0.71334986]
 [0.09446444 0.10415838 0.10229705]]","['spotlight', 'digital_clock', 'matchstick']"
architecture 067.jpg,"[[0.60965502 0.59014876 0.55354792]
 [0.13718557 0.26046364 0.20883461]
 [0.46285776 0.40514575 0.32230341]
 [0.80437273 0.80596695 0.79798763]
 [0.02306268 0.08812761 0.05007136]]","['spotlight', 'digital_clock', 'matchstick']"
architecture 086.jpg,"[[0.39623289 0.42341786 0.40257338]
 [0.77426348 0.56124774 0.27999543]
 [0.24775167 0.22696846 0.1889621 ]
 [0.85448419 0.87563247 0.88728724]
 [0.07020471 0.07871491 0.05960486]]","['spotlight', 'digital_clock', 'matchstick']"
20240623222739_1.jpg,"[[0.72094637 0.81562765 0.84549905]
 [0.5115088  0.37667188 0.32392751]
 [0.29114028 0.54999423 0.67876709]
 [0.73725659 0.60944275 0.53384689]
 [0.17994484 0.14379001 0.15650495]]","['spotlight', 'matchstick', 'digital_clock']"
20240623225902_1.jpg,"[[0.10096718 0.09289386 0.11620344]
 [0.39348607 0.48048356 0.80758249]
 [0.31236655 0.29482727 0.3397267 ]
 [0.17100569 0.19493585 0.71278684]
 [0.11295343 0.11378899 0.40732732]]","['spotlight', 'digital_clock', 'matchstick']"
20240623230755_1.jpg,"[[0.38505843 0.3977089  0.34747623]
 [0.14418631 0.13226193 0.07515559]
 [0.09680672 0.47925552 0.81343791]
 [0.30184768 0.28971779 0.18587888]
 [0.04508051 0.18195969 0.49590864]]","['spotlight', 'matchstick', 'digital_clock']"
20240623231254_1.jpg,"[[0.19223188 0.14520149 0.0104771 ]
 [0.52582727 0.65770872 0.75364492]
 [0.3631195  0.36223868 0.26265229]
 [0.36712782 0.4719253  0.54685224]
 [0.29751223 0.26781049 0.09860369]]","['spotlight', 'matchstick', 'digital_clock']"
20240623232021_1.jpg,"[[0.06242787 0.06098081 0.05935906]
 [0.58354668 0.89986752 0.98939464]
 [0.0651478  0.12553311 0.28963559]
 [0.10529043 0.27847575 0.57950666]
 [0.26224694 0.57479396 0.82368935]]","['spotlight', 'matchstick', 'digital_clock']"
20240623233629_1.jpg,"[[0.1293354  0.06613047 0.03700569]
 [0.46724098 0.2869636  0.16847696]
 [0.80112329 0.73530903 0.67811079]
 [0.27704575 0.15587755 0.08557583]
 [0.66947719 0.47675237 0.31304132]]","['spotlight', 'digital_clock', 'matchstick']"
20240623234435_1.jpg,"[[0.09409259 0.07823695 0.04520985]
 [0.60974838 0.59341693 0.43403125]
 [0.24398293 0.21799105 0.14263752]
 [0.85409227 0.87145469 0.77456907]
 [0.41647193 0.38362577 0.26590702]]","['spotlight', 'digital_clock', 'matchstick']"
20240623234942_1.jpg,"[[0.28422166 0.1337     0.01668664]
 [0.63508389 0.37957483 0.08362442]
 [0.14652942 0.06672715 0.02310866]
 [0.43836561 0.22216036 0.03220193]
 [0.85462887 0.69064395 0.45898738]]","['spotlight', 'matchstick', 'digital_clock']"
20240624002719_1.jpg,"[[0.25158621 0.13594843 0.12210224]
 [0.60796434 0.38980447 0.38707654]
 [0.10246233 0.05897097 0.05428292]
 [0.77897818 0.64205836 0.70636472]
 [0.43080337 0.24653819 0.22670935]]","['spotlight', 'matchstick', 'digital_clock']"
shadows+008-2.jpg,"[[0.07460946 0.0990984  0.15406461]
 [0.19414042 0.24208855 0.34647818]
 [0.12917848 0.1646867  0.24288447]
 [0.02458891 0.03660515 0.06182638]
 [0.55585073 0.60468058 0.72146743]]","['spotlight', 'matchstick', 'digital_clock']"
shadows+021.jpg,"[[0.1050104  0.11643893 0.14803342]
 [0.1889872  0.2431881  0.35636258]
 [0.24066862 0.34374926 0.52734564]
 [0.4353387  0.39620295 0.37066126]
 [0.13733566 0.1714385  0.25590917]]","['spotlight', 'matchstick', 'digital_clock']"
shadows+043.jpg,"[[0.14431412 0.1384988  0.14229786]
 [0.36618553 0.35136689 0.34866989]
 [0.26066533 0.24530929 0.24758091]
 [0.48059475 0.46775861 0.46552872]
 [0.72831169 0.74856634 0.78626942]]","['spotlight', 'matchstick', 'digital_clock']"
soiree_28_01_2023+117.jpg,"[[0.116477   0.11061822 0.11233399]
 [0.48609126 0.61810519 0.8043797 ]
 [0.24654845 0.30652293 0.43472645]
 [0.14857998 0.17053493 0.22182934]
 [0.8420915  0.87263952 0.92241327]]","['spotlight', 'matchstick', 'digital_clock']"
testing_shadows+025.jpg,"[[0.5517243  0.55518269 0.55874622]
 [0.13186158 0.0887353  0.05230193]
 [0.53657774 0.71906386 0.88006536]
 [0.47106762 0.48144137 0.49359265]
 [0.30900868 0.21737704 0.10906972]]","['spotlight', 'matchstick', 'digital_clock']"
testing_shadows+045.jpg,"[[0.52847545 0.58553906 0.63724162]
 [0.15647341 0.17105791 0.20542103]
 [0.75073073 0.79998482 0.83623262]
 [0.29030418 0.30536067 0.33371716]
 [0.03212116 0.03950808 0.05360123]]","['spotlight', 'matchstick', 'digital_clock']"
testing_shadows+071.jpg,"[[0.60998477 0.77432261 0.91369905]
 [0.32338462 0.28500569 0.23460773]
 [0.67302755 0.69138381 0.7101683 ]
 [0.09300635 0.07804531 0.05943232]
 [0.51956346 0.54360522 0.56751195]]","['spotlight', 'digital_clock', 'theater_curtain']"
Nantes_16_06+070.jpg,"[[0.15122881 0.13158137 0.08849328]
 [0.7429922  0.6657074  0.57880894]
 [0.49037364 0.47703122 0.4610116 ]
 [0.3045048  0.27498376 0.2282374 ]
 [0.80410975 0.78247239 0.77322234]]","['spotlight', 'digital_clock', 'matchstick']"
